Brand,Year,mean,sum
BLUEBONNET,2018,25737.89,93660184.0
BLUEBONNET,2019,24434.207,88476264.0
BLUEBONNET,2020,26719.178,96990616.0
BLUEBONNET,2021,20330.371,71034320.0
BLUEBONNET,2022,23738.941,77365210.0
BLUEBONNET,2023,22771.795,1616797.5
BREAKSTONESRFG,2018,4949.239,7310026.0
BREAKSTONESRFG,2019,4718.108,8058528.0
BREAKSTONESRFG,2020,6052.1416,10863594.0
BREAKSTONESRFG,2021,4674.681,7530911.0
BREAKSTONESRFG,2022,5981.704,9498946.0
BREAKSTONESRFG,2023,7379.616,191870.02
BRUMMEL&,2018,6954.3706,7851484.5
BRUMMEL&,2019,10132.373,7275044.0
BRUMMEL&,2020,13081.739,7116466.0
BRUMMEL&,2021,13331.342,6212405.5
BRUMMEL&,2022,12752.784,5968303.0
BRUMMEL&,2023,10986.694,98880.25
CABOTRFG,2018,5584.9404,5115805.5
CABOTRFG,2019,5487.455,5937426.5
CABOTRFG,2020,6253.378,7410253.0
CABOTRFG,2021,6055.275,6158214.5
CABOTRFG,2022,5886.423,6310245.5
CABOTRFG,2023,5847.81,111108.39
CHALLENGEBUTTER,2018,3771.9124,19994908.0
CHALLENGEBUTTER,2019,4174.7617,22218082.0
CHALLENGEBUTTER,2020,5383.7803,29917666.0
CHALLENGEBUTTER,2021,5090.791,26141212.0
CHALLENGEBUTTER,2022,4949.7188,24293220.0
CHALLENGEBUTTER,2023,6478.1406,667248.5
COUNTRYCROCK,2018,12790.205,94557980.0
COUNTRYCROCK,2019,11811.29,96935256.0
COUNTRYCROCK,2020,13921.466,116202470.0
COUNTRYCROCK,2021,12712.333,108970120.0
COUNTRYCROCK,2022,12833.86,107201230.0
COUNTRYCROCK,2023,14045.999,2036669.9
CRYSTALFARMS,2018,1658.5592,2642084.8
CRYSTALFARMS,2019,1609.766,2590113.5
CRYSTALFARMS,2020,1621.1691,2778683.8
CRYSTALFARMS,2021,1633.7001,2635158.2
CRYSTALFARMS,2022,1603.6198,2416655.0
CRYSTALFARMS,2023,1440.7482,36018.703
DARIGOLDRFG,2018,6878.739,3198613.5
DARIGOLDRFG,2019,4478.6523,3027569.0
DARIGOLDRFG,2020,7343.074,6410504.0
DARIGOLDRFG,2021,4380.3276,3828406.5
DARIGOLDRFG,2022,4397.5693,3377333.2
DARIGOLDRFG,2023,5314.908,69093.805
EARTHBALANCE,2018,2886.822,11492438.0
EARTHBALANCE,2019,2639.2676,11509846.0
EARTHBALANCE,2020,3015.1406,16013412.0
EARTHBALANCE,2021,2570.1196,13922338.0
