Geography,Year,mean,sum,count
California - IRI Standard - Multi Outlet + Conv,2018,3801.5955,70071010.0,18432
California - IRI Standard - Multi Outlet + Conv,2019,3562.9937,68990250.0,19363
California - IRI Standard - Multi Outlet + Conv,2020,4348.7993,85662650.0,19698
California - IRI Standard - Multi Outlet + Conv,2021,3735.9814,69612540.0,18633
California - IRI Standard - Multi Outlet + Conv,2022,3969.9883,71483610.0,18006
California - IRI Standard - Multi Outlet + Conv,2023,4157.6333,1451014.0,349
Great Lakes - IRI Standard - Multi Outlet + Conv,2018,4231.5737,125093784.0,29562
Great Lakes - IRI Standard - Multi Outlet + Conv,2019,4162.251,122349370.0,29395
Great Lakes - IRI Standard - Multi Outlet + Conv,2020,5077.7246,149508530.0,29444
Great Lakes - IRI Standard - Multi Outlet + Conv,2021,4243.566,123852720.0,29186
Great Lakes - IRI Standard - Multi Outlet + Conv,2022,4432.8735,124559320.0,28099
Great Lakes - IRI Standard - Multi Outlet + Conv,2023,4371.976,2295287.5,525
Mid-South - IRI Standard - Multi Outlet + Conv,2018,4192.478,120860760.0,28828
Mid-South - IRI Standard - Multi Outlet + Conv,2019,4125.524,121117130.0,29358
Mid-South - IRI Standard - Multi Outlet + Conv,2020,4923.659,144499550.0,29348
Mid-South - IRI Standard - Multi Outlet + Conv,2021,4577.014,128577480.0,28092
Mid-South - IRI Standard - Multi Outlet + Conv,2022,4673.5825,128070180.0,27403
Mid-South - IRI Standard - Multi Outlet + Conv,2023,4846.372,2476496.2,511
Northeast - IRI Standard - Multi Outlet + Conv,2018,4382.4707,157887280.0,36027
Northeast - IRI Standard - Multi Outlet + Conv,2019,4241.0093,160199890.0,37774
Northeast - IRI Standard - Multi Outlet + Conv,2020,5212.9385,193572050.0,37133
Northeast - IRI Standard - Multi Outlet + Conv,2021,4599.985,160502670.0,34892
Northeast - IRI Standard - Multi Outlet + Conv,2022,5141.106,166931710.0,32470
Northeast - IRI Standard - Multi Outlet + Conv,2023,5080.215,3022727.8,595
Plains - IRI Standard - Multi Outlet + Conv,2018,2731.26,61060050.0,22356
Plains - IRI Standard - Multi Outlet + Conv,2019,2550.1165,59348860.0,23273
Plains - IRI Standard - Multi Outlet + Conv,2020,3060.2302,69865060.0,22830
Plains - IRI Standard - Multi Outlet + Conv,2021,2695.412,60649468.0,22501
Plains - IRI Standard - Multi Outlet + Conv,2022,2906.0037,61406764.0,21131
Plains - IRI Standard - Multi Outlet + Conv,2023,2813.1082,1102738.4,392
South Central - IRI Standard - Multi Outlet + Conv,2018,5233.8164,103603390.0,19795
South Central - IRI Standard - Multi Outlet + Conv,2019,5266.97,107267120.0,20366
South Central - IRI Standard - Multi Outlet + Conv,2020,6230.9604,128208240.0,20576
South Central - IRI Standard - Multi Outlet + Conv,2021,5704.0854,113916290.0,19971
South Central - IRI Standard - Multi Outlet + Conv,2022,6067.127,114280400.0,18836
South Central - IRI Standard - Multi Outlet + Conv,2023,6286.5947,2194021.5,349
Southeast - IRI Standard - Multi Outlet + Conv,2018,6223.423,144607460.0,23236
Southeast - IRI Standard - Multi Outlet + Conv,2019,5948.2827,139974990.0,23532
Southeast - IRI Standard - Multi Outlet + Conv,2020,7013.0083,168522600.0,24030
Southeast - IRI Standard - Multi Outlet + Conv,2021,6331.5933,149128020.0,23553
Southeast - IRI Standard - Multi Outlet + Conv,2022,6659.25,151178290.0,22702
Southeast - IRI Standard - Multi Outlet + Conv,2023,7184.41,3053374.2,425
West - IRI Standard - Multi Outlet + Conv,2018,3939.1472,85928560.0,21814
West - IRI Standard - Multi Outlet + Conv,2019,3672.072,81505310.0,22196
West - IRI Standard - Multi Outlet + Conv,2020,4486.844,97902936.0,21820
West - IRI Standard - Multi Outlet + Conv,2021,3820.0386,82593060.0,21621
West - IRI Standard - Multi Outlet + Conv,2022,3956.4016,85929090.0,21719
West - IRI Standard - Multi Outlet + Conv,2023,4190.345,1751564.4,418
