Year,Week,Unit Sales No Merch
2018,2,4811.8516
2018,3,4585.44
2018,4,4167.612
2018,5,4531.966
2018,6,4290.1245
2018,7,4124.348
2018,8,4163.013
2018,9,4330.7285
2018,10,4429.1523
2018,11,4262.831
2018,12,3662.0981
2018,13,3844.3694
2018,14,4088.82
2018,15,4124.0303
2018,16,3889.4683
2018,17,3804.8743
2018,18,4049.9841
2018,19,4130.652
2018,20,3924.2788
2018,21,4103.594
2018,22,3958.5962
2018,23,4131.377
2018,24,4152.4795
2018,25,4067.622
2018,26,4115.052
2018,27,4248.1846
2018,28,4096.4614
2018,29,4271.728
2018,30,4103.1235
2018,31,4383.9263
2018,32,4476.795
2018,33,4469.7417
2018,34,4321.1943
2018,35,4444.901
2018,36,4657.39
2018,37,4593.9536
2018,38,4284.953
2018,39,4238.8237
2018,40,4504.2334
2018,41,4618.6846
2018,42,4436.9707
2018,43,4392.0005
2018,44,4315.2036
2018,45,4389.049
2018,46,4867.5947
2018,47,5822.7065
2018,48,3874.7815
2018,49,4784.8857
2018,50,4826.843
2018,51,5559.511
2018,52,4743.3726
2019,1,4633.9
2019,2,4549.1426
2019,3,4813.408
2019,4,4296.2124
2019,5,4420.6484
2019,6,4077.1821
2019,7,4278.902
2019,8,4333.098
2019,9,4610.3013
2019,10,4708.4937
2019,11,4359.088
2019,12,4016.941
2019,13,3903.1396
2019,14,4183.3516
2019,15,3633.9702
2019,16,3735.956
2019,17,3333.466
2019,18,3907.4558
2019,19,4147.4956
2019,20,3884.0884
2019,21,3931.8105
2019,22,3933.9392
2019,23,4037.1023
2019,24,4036.65
2019,25,4011.4998
2019,26,3972.6567
2019,27,4242.745
2019,28,3959.9705
2019,29,4173.9155
2019,30,4087.3486
2019,31,4281.5425
2019,32,4231.847
2019,33,4203.827
2019,34,3936.0122
2019,35,4057.6128
2019,36,4296.3076
2019,37,4037.7334
2019,38,3993.392
2019,39,3936.7712
2019,40,4322.2827
2019,41,4370.3286
2019,42,4307.8286
2019,43,4077.647
2019,44,4132.8555
2019,45,4102.1313
2019,46,4072.3374
2019,47,4441.9893
2019,48,5558.2495
2019,49,3916.5862
2019,50,3997.0352
2019,51,4973.7056
2019,52,4533.4487
2020,1,4280.2046
2020,2,4235.8066
2020,3,4172.4497
2020,4,3941.036
2020,5,3905.5366
2020,6,4045.286
2020,7,4027.2568
2020,8,3888.9521
2020,9,3946.1377
2020,10,4341.6655
2020,11,7396.8003
2020,12,8298.63
2020,13,6086.1196
2020,14,6223.9907
2020,15,5917.197
2020,16,6219.643
2020,17,6631.7173
2020,18,6626.0522
2020,19,6054.083
2020,20,5701.9375
2020,21,5403.0894
2020,22,4903.5947
2020,23,5045.2266
2020,24,4772.325
2020,25,4810.644
2020,26,4737.6445
2020,27,4993.7188
2020,28,4714.695
2020,29,4793.743
2020,30,4669.9463
2020,31,4722.1465
2020,32,4812.139
2020,33,5019.4004
2020,34,4911.4414
2020,35,4634.729
2020,36,4649.4937
2020,37,4527.72
2020,38,4684.2715
2020,39,4550.516
2020,40,4928.8696
2020,41,4739.7676
2020,42,4655.0874
2020,43,4808.2886
2020,44,4833.8325
2020,45,4573.754
2020,46,4869.957
2020,47,5326.9536
2020,48,5820.4414
2020,49,4715.613
2020,50,5240.1685
2020,51,5420.0176
2020,52,5795.4917
2021,1,5025.8296
2021,2,4961.8247
2021,3,4725.2
2021,4,4692.8643
2021,5,4960.2476
2021,6,4815.7095
2021,7,4623.985
2021,8,4533.2017
2021,9,4545.592
2021,10,4548.7383
2021,11,4454.2456
2021,12,3927.752
2021,13,4228.485
2021,14,3973.233
2021,15,4338.514
2021,16,4040.5208
2021,17,4110.433
2021,18,4267.0205
2021,19,4175.67
2021,20,4219.5894
2021,21,4055.693
2021,22,3923.8499
2021,23,4022.6956
2021,24,4231.7354
2021,25,3893.1086
2021,26,4159.6157
2021,27,4215.8374
2021,28,4572.7817
2021,29,4396.48
2021,30,4391.957
2021,31,4470.3955
2021,32,4330.0605
2021,33,4432.0063
2021,34,4077.1716
2021,35,4335.85
2021,36,4534.9214
2021,37,4366.878
2021,38,4330.5767
2021,39,4566.3174
2021,40,4688.9004
2021,41,4464.6587
2021,42,4421.005
2021,43,4775.8423
2021,44,4548.0225
2021,45,4669.6577
2021,46,4825.5938
2021,47,5501.803
2021,48,4283.0176
2021,49,4693.461
2021,50,4762.312
2021,51,5676.6514
2021,53,5159.7446
2022,1,4895.1284
2022,2,4986.059
2022,3,4687.9277
2022,4,4762.4155
2022,5,4881.3975
2022,6,4645.3477
2022,7,4439.7524
2022,8,4766.178
2022,9,4780.81
2022,10,4626.1494
2022,11,4433.1543
2022,12,4262.713
2022,13,4390.9194
2022,14,4082.7004
2022,15,4142.858
2022,16,3878.2053
2022,17,4337.459
2022,18,4414.9126
2022,19,4186.0015
2022,20,4230.8027
2022,21,4193.8896
2022,22,4369.6973
2022,23,4432.187
2022,24,4450.335
2022,25,4299.5596
2022,26,4440.3784
2022,27,4426.226
2022,28,4579.024
2022,29,4704.0747
2022,30,4715.8145
2022,31,4963.262
2022,32,4841.572
2022,33,4749.544
2022,34,4748.1953
2022,35,4575.127
2022,36,4625.2334
2022,37,4556.562
2022,38,4715.8477
2022,39,5040.4326
2022,40,5104.592
2022,41,5064.5483
2022,42,4991.5317
2022,43,4794.9155
2022,44,5040.068
2022,45,5240.434
2022,46,5819.7354
2022,47,6648.1445
2022,48,4800.0864
2022,49,5450.7505
2022,50,5306.246
2022,51,7123.0005
2022,52,4431.582
2023,52,4867.3467
